date,open,close,high,low,volume,change,pct_change
2016-02-19,3047.9400,3051.5800,3065.9700,3032.6300,87338012,-2.1200,-0.0007
2016-02-22,3083.9300,3118.8700,3128.2100,3071.3300,140946968,67.2900,0.0221
2016-02-23,3117.2000,3089.3600,3119.2200,3061.4300,112567391,-29.5100,-0.0095
2016-02-24,3077.6100,3109.5500,3109.5500,3055.2500,111782650,20.1900,0.0065
2016-02-25,3104.4100,2918.7500,3104.4400,2905.4600,157829752,-190.8000,-0.0614
2016-02-26,2942.1000,2948.0300,2964.3900,2902.9500,106949729,29.2800,0.0100
2016-02-29,2939.5800,2877.4700,2939.8700,2821.2100,129341020,-70.5600,-0.0239
2016-03-01,2881.3400,2930.6900,2950.4400,2863.3200,116045918,53.2200,0.0185
2016-03-02,2933.9200,3051.3300,3054.7200,2933.1200,175972347,120.6400,0.0412
2016-03-03,3050.3900,3058.4200,3078.4400,3040.2500,173105744,7.0900,0.0023
2016-03-04,3047.5400,3093.8900,3101.6600,3032.4200,219172534,35.4700,0.0116
2016-03-07,3109.0000,3104.8400,3130.9000,3083.5800,132462037,10.9500,0.0035
2016-03-08,3100.1500,3107.6700,3109.2500,3001.8300,136235742,2.8300,0.0009
2016-03-09,3045.9200,3071.9100,3072.9200,3020.1300,111466245,-35.7600,-0.0115
2016-03-10,3056.2100,3013.1500,3074.1600,3012.6900,76072197,-58.7600,-0.0191
2016-03-11,2990.2100,3018.2800,3026.4400,2982.1700,73333564,5.1300,0.0017
2016-03-14,3039.5700,3065.6900,3106.8000,3034.0000,117108655,47.4100,0.0157
2016-03-15,3061.3400,3074.7800,3077.0800,3028.5800,98311941,9.0900,0.0030
2016-03-16,3068.8700,3090.0300,3100.3500,3064.5200,124736448,15.2500,0.0050
2016-03-17,3096.8100,3124.2000,3147.8400,3077.5700,121661777,34.1700,0.0111
2016-03-18,3136.2200,3171.9600,3197.6700,3130.1000,197302564,47.7600,0.0153
2016-03-21,3203.2900,3249.4400,3267.7800,3198.3600,233269464,77.4800,0.0244
2016-03-22,3231.6100,3225.7900,3249.6800,3218.7300,161020897,-23.6500,-0.0073
2016-03-23,3217.7300,3236.0900,3242.2500,3202.9800,125679286,10.3000,0.0032
2016-03-24,3211.5000,3181.8500,3221.9100,3181.8100,133131122,-54.2400,-0.0168
2016-03-25,3176.8100,3197.8200,3204.4400,3174.3200,97395330,15.9700,0.0050
2016-03-28,3206.9500,3169.7300,3229.6200,3161.8800,103441933,-28.0900,-0.0088
2016-03-29,3171.3100,3135.4100,3178.0700,3122.7600,97294747,-34.3200,-0.0108
2016-03-30,3161.2900,3216.2800,3216.6800,3161.2900,117802512,80.8700,0.0258
2016-03-31,3229.2000,3218.0900,3241.9300,3208.6600,121552074,1.8100,0.0006
2016-04-01,3213.6700,3221.8900,3222.6100,3165.8600,118122139,3.8000,0.0012
2016-04-05,3211.3000,3264.4900,3271.9300,3205.2100,146047772,42.6000,0.0132
2016-04-06,3250.5200,3257.5300,3267.6400,3236.2000,120196305,-6.9600,-0.0021
2016-04-07,3266.2900,3209.2900,3270.8200,3208.6400,112409467,-48.2400,-0.0148
2016-04-08,3189.8500,3185.7300,3197.7700,3163.3000,101005625,-23.5600,-0.0073
2016-04-11,3213.5100,3230.1000,3251.5700,3213.5100,125212709,44.3700,0.0139
2016-04-12,3227.3700,3218.4500,3232.2600,3198.9000,92869437,-11.6500,-0.0036
2016-04-13,3237.8600,3261.3800,3296.5200,3237.8600,195613866,42.9300,0.0133
